,Date,NYA
167,2010-09-01,6910.97998046875
168,2010-09-02,6966.25
169,2010-09-03,7055.02978515625
170,2010-09-07,6959.93994140625
171,2010-09-08,6999.93994140625
172,2010-09-09,7034.3701171875
173,2010-09-10,7067.509765625
174,2010-09-13,7156.18017578125
175,2010-09-14,7162.080078125
176,2010-09-15,7179.7900390625
177,2010-09-16,7169.47998046875
178,2010-09-17,7154.64990234375
179,2010-09-20,7266.02001953125
180,2010-09-21,7245.9501953125
181,2010-09-22,7210.85009765625
182,2010-09-23,7141.509765625
183,2010-09-24,7301.0400390625
184,2010-09-27,7263.3701171875
185,2010-09-28,7310.31982421875
186,2010-09-29,7299.31005859375
187,2010-09-30,7281.06982421875
188,2010-10-01,7335.91015625
189,2010-10-04,7272.52978515625
190,2010-10-05,7434.18017578125
191,2010-10-06,7448.330078125
192,2010-10-07,7425.009765625
193,2010-10-08,7478.419921875
194,2010-10-11,7479.009765625
195,2010-10-12,7489.6201171875
196,2010-10-13,7561.5
197,2010-10-14,7546.58984375
198,2010-10-15,7520.60009765625
199,2010-10-18,7571.10009765625
200,2010-10-19,7423.64990234375
201,2010-10-20,7523.81005859375
202,2010-10-21,7515.669921875
203,2010-10-22,7522.91015625
204,2010-10-25,7566.72998046875
205,2010-10-26,7530.7998046875
206,2010-10-27,7480.8701171875
207,2010-10-28,7504.85009765625
208,2010-10-29,7513.35009765625
209,2010-11-01,7509.2099609375
210,2010-11-02,7582.14013671875
211,2010-11-03,7608.41015625
212,2010-11-04,7782.43017578125
213,2010-11-05,7800.66015625
214,2010-11-08,7782.2001953125
215,2010-11-09,7702.31005859375
216,2010-11-10,7747.4599609375
217,2010-11-11,7723.240234375
218,2010-11-12,7623.240234375
219,2010-11-15,7617.509765625
220,2010-11-16,7472.6298828125
221,2010-11-17,7488.759765625
222,2010-11-18,7619.93994140625
223,2010-11-19,7641.080078125
224,2010-11-22,7610.2998046875
225,2010-11-23,7470.77001953125
226,2010-11-24,7579.259765625
227,2010-11-26,7500.5400390625
228,2010-11-29,7483.33984375
229,2010-11-30,7430.93994140625
230,2010-12-01,7603.72998046875
