"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"FDP","Fresh Del Monte Produce, Inc.","33","1586716626","n/a","1997","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/fdp",
"FRPT","Freshpet, Inc.","66.24","2390607959.04","n/a","2014","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/frpt",
"FORK","Fuling Global Inc.","2.23","35224879.3","n/a","2015","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/fork",
"FNKO","Funko, Inc.","8.61","425483572.92","n/a","2017","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/fnko",
"FTFT","Future FinTech Group Inc.","0.9399","31151809.6851","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/ftft",
"WILC","G. Willi-Food International,  Ltd.","12.9","170499519.3","n/a","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/wilc",
"GNSS","Genasys Inc.","3.7","122223321","n/a","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/gnss",
"GIS","General Mills, Inc.","51.9","31389992594.7","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/gis",
"GIII","G-III Apparel Group, LTD.","27.76","1327633048.48","n/a","1989","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/giii",
"GIL","Gildan Activewear, Inc.","28.3","5632304544.6","n/a","1998","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/gil",
"GLAD","Gladstone Capital Corporation","10.33","321795811.07","n/a","2001","Consumer Non-Durables","Textiles","https://old.nasdaq.com/symbol/glad",
"GLADD","Gladstone Capital Corporation","25.9745","0","n/a","n/a","Consumer Non-Durables","Textiles","https://old.nasdaq.com/symbol/gladd",
"GLADL","Gladstone Capital Corporation","25.8","0","n/a","n/a","Consumer Non-Durables","Textiles","https://old.nasdaq.com/symbol/gladl",
"GNC","GNC Holdings, Inc.","2.17","183506781.29","n/a","2011","Consumer Non-Durables","Food Chains","https://old.nasdaq.com/symbol/gnc",
"GES","Guess?, Inc.","21.78","1429619380.2","n/a","1996","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/ges",
"HOG","Harley-Davidson, Inc.","33.87","5225883181.56","n/a","n/a","Consumer Non-Durables","Motor Vehicles","https://old.nasdaq.com/symbol/hog",
"HAS","Hasbro, Inc.","99.74","13647755336.8","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/has",
"HSY","Hershey Company (The)","156.05","32602181192.95","n/a","n/a","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/hsy",
"HFFG","HF Foods Group Inc.","17.54","914624983.84","n/a","2017","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/hffg",
"HRL","Hormel Foods Corporation","47.09","25180753227.87","n/a","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://old.nasdaq.com/symbol/hrl",
"TWNK","Hostess Brands, Inc.","13.13","1712181739.45","n/a","2015","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/twnk",
"TWNKW","Hostess Brands, Inc.","1.2961","0","n/a","2015","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/twnkw",
"HWCC","Houston Wire & Cable Company","4.04","66253915.36","n/a","2006","Consumer Non-Durables","Telecommunications Equipment","https://old.nasdaq.com/symbol/hwcc",
"ICON","Iconix Brand Group, Inc.","1.37","16073212.64","n/a","n/a","Consumer Non-Durables","Shoe Manufacturing","https://old.nasdaq.com/symbol/icon",
"IBA","Industrias Bachoco, S.A. de C.V.","48.41","2420500000","n/a","1997","Consumer Non-Durables","Meat/Poultry/Fish","https://old.nasdaq.com/symbol/iba",
